saps,fecha,fecha_mes,fecha_anio,id_servicio,prestacion_categoria,prestacion_tipo,consulta_cantidad,barrio_operativo
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,41,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,19,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,9,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,4,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,98,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,17,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,29,
PUJOL,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,17,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,156,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,6,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,12,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,2,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,370,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,10,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,19,
ESPERANZA,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,120,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,90,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,25,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,10,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,90,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,15,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,35,
MARCELINO VERA,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,15,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,114,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,3,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,181,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,27,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,21,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,85,
DR. MANUEL CASSUSO,2023-01-01,1,2023,4,ENFERMERIA,ECOGRAFIAS,22,
SANTA MARGARITA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,150,
SANTA MARGARITA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,15,
SANTA MARGARITA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,2,
SANTA MARGARITA,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,185,
SANTA MARGARITA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,13,
SANTA MARGARITA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,35,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,44,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,TEMPERATURA,20,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,25,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,NEBULIZACIONES,25,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,CURACIONES,10,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,INYECTABLES,20,
VILLA GARCIA,2023-01-01,1,2023,4,ENFERMERIA,INMUNIZACIONES,58,
DR. ANIBAL MALVIDO,2023-01-01,1,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,31,
DR. ANIBAL MALVIDO,2023-01-01,1,2023,4,ENFERMERIA,GLUCEMIA,4,
DR. ANIBAL MALVIDO,2023-01-01,1,2023,4,ENFERMERIA,PESO Y TALLA,92,
